code,name,隐含,真实,比值
sz002602,世纪华通,7370682322.0,7370682322.0,1.0
sz002625,光启技术,2154587862.0,2154587862.0,1.0
sz002648,卫星化学,3368645690.0,3368645690.0,1.0
sz002709,天赐材料,2038561744.0,2038561744.0,1.0
sz002714,牧原股份,5772996144.0,5772996144.0,1.0
sz002736,国信证券,10241743060.0,10241743060.0,1.0
sz002837,英维克,1277131637.0,1277131637.0,1.0
sz002916,深南电路,681166595.0,681166595.0,1.0
sz002920,德赛西威,596809294.0,596809294.0,1.0
sz002938,鹏鼎控股,2317536658.0,2317536658.0,1.0
sz003816,中国广核,50498824032.0,50498824032.0,1.0
sz300014,亿纬锂能,2173296935.0,2173296935.0,1.0
sz300015,爱尔眼科,9299564734.0,9299564734.0,1.0
sz300033,同花顺,752640000.0,752640000.0,1.0
sz300059,东方财富,15822199875.0,15822199875.0,1.0
sz300122,智飞生物,2393789747.0,2393789747.0,1.0
sz300124,汇川技术,2709502001.0,2709502001.0,1.0
sz300251,光线传媒,2933588432.0,2933588432.0,1.0
sz300274,阳光电源,2073211424.0,2073211424.0,1.0
sz300308,中际旭创,1177909641.0,1177909641.0,1.0
sz300316,晶盛机电,1309533797.0,1309533797.0,1.0
sz300394,天孚通信,1090825093.0,1090825093.0,1.0
sz300408,三环集团,1996718571.0,1996718571.0,1.0
sz300413,芒果超媒,1870720815.0000002,1870720815.0,1.0000000000000002
sz300418,昆仑万维,1285034715.0,1285034715.0,1.0
sz300433,蓝思科技,5278740870.0,5278740870.0,1.0
sz300442,润泽科技,1641041973.0,1641041973.0,1.0
sz300450,先导智能,1674221434.0,1674221434.0,1.0
sz300476,胜宏科技,982784813.0,982784813.0,1.0
sz300498,温氏股份,6653929305.0,6653929305.0,1.0
sz300502,新易盛,1394256683.9999998,1394256684.0,0.9999999999999998
sz300628,亿联网络,1266918377.0,1266918377.0,1.0
sz300661,圣邦股份,685634253.0,685634253.0,1.0
sz300750,宁德时代,4626770410.0,4626770410.0,1.0
sz300760,迈瑞医疗,1211799431.0,1211799431.0,1.0
sz300803,指南针,616500530.0,616500530.0,1.0
sz300832,新产业,785718784.9999999,785718785.0,0.9999999999999999
sz300866,安克创新,588054402.0,588054402.0,1.0
sz300896,爱美客,302592061.0,302592061.0,1.0
sz300999,金龙鱼,5421591536.0,5421591536.0,1.0
sz301165,锐捷网络,1113636363.0,1113636363.0,1.0
sz301236,软通动力,1035189280.0,1035189280.0,1.0
sz301269,华大九天,547874648.0,547874648.0,1.0
sz301308,江波龙,429668149.00000006,429668149.0,1.0000000000000002
sz302132,中航成飞,2672091376.0,2672091376.0,1.0
