code,name,库内最新股本,真实股本,比值
sh600941,中国移动,468445000000.0,21690937654.0,21.59634624709802
sh600958,东方证券,8496645292.0,8496645292.0,1.0
sh600989,宝丰能源,7333360000.0,7333360000.0,1.0
sh600999,招商证券,8696526806.0,8696526806.0,1.0
sh601006,大秦铁路,20147177716.0,19862892778.0,1.0143123633187443
sh601009,南京银行,12363567000.0,12363567245.0,0.9999999801837127
sh601012,隆基绿能,7578064239.0,7578069148.0,0.9999993522096586
sh601018,宁波港,19454388000.0,19454388399.0,0.9999999794904887
sh601021,春秋航空,978333423.0,978333423.0,1.0
sh601058,赛轮轮胎,3288100259.0,3288100259.0,1.0
sh601059,信达证券,3243000000.0,3243000000.0,1.0
sh601066,中信建投,7756694797.0,7756694797.0,1.0
sh601077,渝农商行,11357000000.0,11357000000.0,1.0
sh601088,中国神华,19869000000.0,21689434304.0,0.9160681519635451
sh601100,恒立液压,1340820992.0,1340820992.0,1.0
sh601111,中国国航,17448421000.0,20492561030.0,0.8514514596031436
sh601117,中国化学,6106877362.0,6105560662.0,1.0002156558705895
sh601127,赛力斯,1741985086.0,1741985086.0,1.0
sh601136,首创证券,2733333800.0,2733333800.0,1.0
sh601138,工业富联,19858195000.0,19844092284.0,1.0007106757919773
sh601166,兴业银行,21163000000.0,21162859513.0,1.0000066383751172
sh601169,北京银行,21143000000.0,21142984272.0,1.000000743887419
sh601186,中国铁建,13579542000.0,13579541500.0,1.0000000368200943
sh601211,国泰海通,17628925829.0,17581057948.0,1.0027226962758202
sh601225,陕西煤业,9695000000.0,9695000000.0,1.0
sh601229,上海银行,14209010000.0,14209038737.0,0.9999979775549541
sh601238,广汽集团,10197065900.0,10197065900.0,1.0
